"Title","ID","Owner","Created Date","Updated Date","Type","Link","more"
"歌剧 威尔第《阿依达》","76be00fb-e41b-4a44-9881-09d23a799c2d","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/5,11",
"吉岛合唱团-The Music’s Always There With You","77261213-82a6-4dce-8d19-d49a772f7ebe","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/26",
"舞剧《大河之舞》","78ce8a22-1de3-4239-afc5-f8d850ad71a9","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/2,12",
"光束在现场 | 万方携手拉姆尼 新剧《你还弹吉他吗》聚焦女性成长 ","79d99191-289d-4220-b71d-b44f250a0cdd","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/8,32","万方携手拉姆尼，聚焦女性成长。"
"京剧《白蛇传》","7a908f3c-3abd-4352-8696-d4f34cd4db0b","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏曲","https://m.polyt.cn/activity/cloudTheater/detail/6,51",
"光束专访：周涛《情书》首秀：纸短情长，我的故事都关于你","7cbf7689-d843-4340-bb70-c01a3c0312e2","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/6,33",
"歌剧世界——里昂歌剧院的传统与现代","7da59b87-7f2f-40b5-b98a-0a534639820a","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/14,32","300年历史的歌剧院，传统现代结合的典范"
"乐心飞扬—宋飞从教20周年师生胡琴音乐会","7e73bd34-4231-49bc-970b-0e41d57b82c3","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/3,22",
"原创黄梅戏儿童剧《彩虹森林》","7eb409f1-6b15-4f5a-b270-d84b64883dcc","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:53Z,2020-09-27T19:28:53Z,"戏曲","https://m.polyt.cn/activity/cloudTheater/detail/2,54",
"莫斯科柴可夫斯基音乐学院交响乐团2020新年音乐会","7f64e144-ab8c-41c3-be52-c6e1d8749ce9","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/2,21",
"首席猫玩转音符系列音乐课堂","806c8a36-1a28-4b30-b68f-941904799ba5","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/31",
"章红艳·天边情歌—2020弹拨·击乐民乐金曲新年音乐会","80e7d0df-6fcd-4a9e-be9c-f0fc65386a70","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:52Z,2020-09-27T19:28:52Z,"音乐会","https://m.polyt.cn/activity/cloudTheater/detail/2,23",
"光束专访|《我，堂吉诃德》：一个伟大的故事 ，一曲理想主义的颂","8333fb7c-37c3-4015-a369-07a6fab12c4e","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:56Z,2020-09-27T19:28:56Z,"人物","https://m.polyt.cn/activity/cloudTheater/detail/5,32",
"加拿大国家芭蕾舞团演绎特拉文斯基经典之作《火鸟》","85943f7d-2334-415a-acbc-807e3c7a02ab","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"戏剧","https://m.polyt.cn/activity/cloudTheater/detail/16,12",
"德国波恩歌剧院送上诚挚祝福","868898b7-63e0-4e4e-ab4e-ea0cafecc75e","82d3b669-3ab5-4348-9957-1275393def7b",2020-09-27T19:28:54Z,2020-09-27T19:28:54Z,"文艺战疫","https://m.polyt.cn/activity/cloudTheater/detail/4,42",
