Title,Type,Link,more
纪录片：托斯卡尼尼和他说的话,人物,"https://m.polyt.cn/activity/cloudTheater/detail/11,31",通过家庭对话的录音来了解这位伟大的音乐家
经典档案-伊戈尔·斯特拉文斯基亲自指挥《火鸟》,人物,"https://m.polyt.cn/activity/cloudTheater/detail/9,32",斯特拉文斯基亲自指挥乐团演奏《火鸟》
基顿·克莱默演奏巴赫无伴奏小提琴奏鸣曲与组曲,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/12,22",克莱默演绎巴赫无伴奏小提琴奏鸣曲与组曲
央华大戏《北京人》,戏剧,https://m.polyt.cn/activity/cloudTheater/detail/11,中国戏剧新经典，
圣彼得堡艾夫曼芭蕾舞团送上祝福,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/4,41",
2003年郎朗在卡内基音乐厅首次演出,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/27,11",
黄婷《大提琴基础坐姿和空弦练习》,人物,"https://m.polyt.cn/activity/cloudTheater/detail/3,32",
布达佩斯节日管弦乐团祝福,文艺战疫,"https://m.polyt.cn/activity/cloudTheater/detail/3,42",
纪录片：探索古典音乐杰作——了解马勒《大地之歌》的创作故事,人物,"https://m.polyt.cn/activity/cloudTheater/detail/11,32",马勒认为这是他所创作的“最个人的作品”
光束专访 | 蒋雯丽主演《明年此时》，百老汇经典之作，首登中国舞台,人物,"https://m.polyt.cn/activity/cloudTheater/detail/4,32",
京剧《党的女儿》,戏曲,"https://m.polyt.cn/activity/cloudTheater/detail/9,52",同名歌剧改编，北京文化艺术基金项目
祖宾·梅塔与以色列爱乐乐团演绎经典交响乐作品,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/25,11",
中国著名女高音歌唱家慕林林：意大利歌剧艺术赏析,人物,"https://m.polyt.cn/activity/cloudTheater/detail/3,33",
原创音乐剧《聂小倩与宁采臣》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/6,11",
张海鸥演奏会（节选）,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/6,24",
韦尔比耶音乐节巡礼-20周年特别音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/19,12",
大型原创舞剧《粉墨春秋》（节选）,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/6,13",
《歌唱的基本方法》主讲人：李宏（国家一级演员）,人物,https://m.polyt.cn/activity/cloudTheater/detail/34,
舞剧《关闭》——来自现实生活的舞蹈 ,人物,"https://m.polyt.cn/activity/cloudTheater/detail/14,31",电影手法拍摄的舞剧，封闭的酒吧百态人生
音乐剧《钢的琴》,戏剧,"https://m.polyt.cn/activity/cloudTheater/detail/3,12",
安妮·索菲·冯·奥特与朋友演唱勃拉姆斯作品,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/9,22",安妮·索菲·冯·奥特演绎勃拉姆斯的艺术歌曲
韦尔比耶音乐节巡礼-王羽佳独奏音乐会,音乐会,"https://m.polyt.cn/activity/cloudTheater/detail/19,13",
